level,avg_reward,avg_completion,max_completion
SuperMarioBros-1-1-v0,-307448.99798897357,14.466666666666665,14.466666666666667
SuperMarioBros-1-3-v0,24.596000784635542,10.5,10.5
SuperMarioBros-2-2-v0,-218255.99900251703,5.549999999999999,5.8999999999999995
SuperMarioBros-2-4-v0,168.73800604343415,59.40333333333334,65.83333333333333
SuperMarioBros-3-1-v0,-117466.00099701322,18.30333333333333,38.46666666666667
SuperMarioBros-3-3-v0,38.42600132077932,15.166666666666668,15.166666666666668
SuperMarioBros-4-2-v0,19.917000714316963,9.083333333333332,11.633333333333333
SuperMarioBros-5-2-v0,39.39300066828728,15.23666666666667,15.266666666666667
SuperMarioBros-5-3-v0,24.384000772237776,10.440000000000001,10.5
SuperMarioBros-6-1-v0,26.8730007648468,11.386666666666667,11.4
SuperMarioBros-6-3-v0,29.31200085245073,12.200000000000001,12.2
SuperMarioBros-7-2-v0,-150411.02300023026,6.673333333333334,17.133333333333333
SuperMarioBros-8-1-v0,37.51000127196312,14.936666666666667,18.7
SuperMarioBros-8-3-v0,-104526.21299768201,19.806666666666665,37.56666666666666
